plot_name;WD_mean;ISA;ICV;IDT;log_transition_thickness;log_max_d1;h50_relatif;basal_thickness_relatif;ratio_h50_h90;ratio_basal_transition;h50_squared;anisotropy_squared
RAB13h;0,61067074;4,80529661070806;21321,5729759081;12,2242875579103;2,54543273487479;-3,12902687141067;;;;1,23255813953488;548,692224032518;26,7873004279503
RAB14h;0,661744;5,10723232712309;16735,9901981739;10,5757027924451;2,36775155763734;-2,9054733261564;;;;1,58333333333333;585,018988246733;26,902803881398
RAB15h;0,64358294;1,47290782593997;24892,8212915864;17,7448784706886;2,75452453273335;-3,27633580951095;;;;1,16981132075472;755,791736111111;26,1545228668624
RAB16h;0,654285547;4,74290010149812;20457,1461038945;9,30139621709635;2,36775155763734;-2,84077348854148;;;;1,41666666666667;430,173781068979;26,4304535507651
RAB17h;0,662039721;0,7037926443449;20491,1946620268;12,5281558337255;2,42181877890761;-3,04975999646015;;;;1,73684210526316;717,858046339056;26,7865988932526
RAB18h;0,652341983;1,77539998971453;13273,1607790348;9,22432761019992;2,28074018064771;-2,7959151626;;;;1,72727272727273;503,967026583575;26,3895122257554
RAB19h;0,616570171;5,92008469307775;27462,2601463974;11,7105861783257;2,5219022374646;-3,15782679783653;;;;1,26190476190476;533,248394615346;26,9654538519403
RAB20h;0,650165805;0,424621142038039;18221,2903137096;17,2165774925925;2,71605825190555;-3,25508033310671;;;;1,2156862745098;750,874969436158;26,4897921258287
RAB21h;0,661080554;0,40999803618606;28465,6425825837;14,3974779725674;2,56842225309949;-3,16725242055118;;;;1,38636363636364;700,696013705227;26,9433355665108
RAB22h;0,607976629;0,745551264151616;13834,5881608569;11,3318531176242;2,28074018064771;-2,80345995990003;;;;2,15151515151515;789,52942857877;26,1741994092174
RAB23h;0,687232915;0,584135922428335;24737,811995344;21,0635399691692;2,91136700422632;-3,41047603182789;;;;0,967741935483871;783,818192359588;26,74667646026
RAB24h;0,683217449;0,400271647779281;15044,9555000218;18,7984989568423;2,54543273487479;-3,012498279903;;;;2,16279069767442;1260,49540365053;26,5874359404899
RAB25h;0,629980683;2,36489112760332;21344,3022110041;14,4407286769911;2,61287401567032;-3,20352668714006;;;;1,32608695652174;671,640638657421;26,4491872170022
MNG03h;0,490477779;0,516643171888983;123429,588673506;9,42685445299035;1,55682134142101;-2,07812103635825;;;;8,8125;2115,61150431999;26,694656585152
MNG04h;0,609866798;1,20070473571945;44191,6199008991;12,8460661116081;2,18543000084338;-2,75508751446622;;;;3,16666666666666;1189,83932114512;26,9180355376431
MON02h;0,624997419;-0,00959866108323504;36,711229578427;14,626332150625;2,95861988907686;-2,56014384554467;;;;0,507692307692308;450,344858650366;6,01440049039344
