plot_name;height_aboveground;buffer;gap_area;gap_freq
123;12;50;29;1
123;12;50;34;1
123;12;50;36;1
123;12;50;47;1
123;12;50;51;1
123;12;50;67;1
123;12;50;74;1
123;12;50;193;1
123;12;50;201;1
123;12;50;424;1
123;13;0;1;4
123;13;0;2;1
123;13;0;3;1
123;13;0;6;1
123;13;0;7;1
123;13;0;8;1
123;13;0;10;1
123;13;0;12;1
123;13;0;17;1
123;13;0;19;1
123;13;0;23;1
123;13;0;35;1
123;13;0;296;1
123;13;20;1;9
123;13;20;2;3
123;13;20;3;2
123;13;20;4;1
123;13;20;6;3
123;13;20;7;2
123;13;20;10;1
123;13;20;12;1
123;13;20;17;2
123;13;20;19;1
123;13;20;23;1
123;13;20;35;1
123;13;20;63;1
123;13;20;170;1
123;13;20;296;1
123;13;50;1;14
123;13;50;2;8
123;13;50;3;5
123;13;50;4;3
123;13;50;5;2
123;13;50;6;2
123;13;50;7;5
123;13;50;8;2
123;13;50;9;2
123;13;50;10;1
123;13;50;11;1
123;13;50;12;1
123;13;50;14;1
123;13;50;15;2
123;13;50;17;2
123;13;50;19;1
123;13;50;22;1
123;13;50;23;1
123;13;50;24;1
123;13;50;32;1
123;13;50;33;1
123;13;50;35;1
123;13;50;38;1
123;13;50;42;1
123;13;50;46;1
123;13;50;63;1
123;13;50;71;1
123;13;50;75;1
123;13;50;90;1
123;13;50;249;1
123;13;50;296;1
123;13;50;500;1
123;14;0;1;4
123;14;0;2;1
123;14;0;5;1
123;14;0;6;1
123;14;0;8;1
123;14;0;11;2
123;14;0;12;1
123;14;0;15;1
123;14;0;25;1
123;14;0;30;1
123;14;0;38;1
123;14;0;52;1
123;14;0;341;1
123;14;20;1;13
123;14;20;2;3
123;14;20;4;1
123;14;20;5;1
123;14;20;6;5
123;14;20;11;3
123;14;20;12;1
123;14;20;15;1
123;14;20;17;1
123;14;20;25;1
123;14;20;30;1
123;14;20;38;1
123;14;20;52;1
123;14;20;89;1
123;14;20;178;1
123;14;20;341;1
123;14;50;1;20
123;14;50;2;7
123;14;50;3;3
123;14;50;4;1
123;14;50;5;3
123;14;50;6;6
123;14;50;8;1
123;14;50;9;4
123;14;50;11;3
123;14;50;12;2
123;14;50;13;1
123;14;50;14;1
123;14;50;15;3
123;14;50;16;1
123;14;50;17;1
123;14;50;20;1
123;14;50;25;2
123;14;50;30;1
123;14;50;33;1
123;14;50;38;2
123;14;50;45;1
123;14;50;49;1
123;14;50;50;1
123;14;50;52;1
123;14;50;79;1
123;14;50;88;1
123;14;50;89;1
123;14;50;103;1
123;14;50;341;1
123;14;50;374;1
123;14;50;530;1
123;15;0;1;8
123;15;0;2;2
123;15;0;3;3
123;15;0;4;1
123;15;0;9;2
123;15;0;12;1
123;15;0;13;1
123;15;0;14;1
123;15;0;29;1
123;15;0;37;1
123;15;0;146;1
123;15;0;393;1
123;15;20;1;17
123;15;20;2;5
123;15;20;3;7
123;15;20;4;2
123;15;20;5;1
123;15;20;7;1
123;15;20;8;2
123;15;20;9;1
123;15;20;12;1
123;15;20;13;1
123;15;20;14;2
123;15;20;17;1
123;15;20;20;1
123;15;20;29;1
123;15;20;37;1
123;15;20;107;1
123;15;20;146;1
123;15;20;197;1
123;15;20;395;1
123;15;50;1;25
123;15;50;2;7
123;15;50;3;8
123;15;50;4;3
123;15;50;5;2
123;15;50;6;3
123;15;50;7;1
123;15;50;8;2
123;15;50;9;3
123;15;50;12;1
123;15;50;13;2
123;15;50;14;3
123;15;50;15;2
123;15;50;16;1
123;15;50;17;3
123;15;50;20;1
123;15;50;23;1
123;15;50;29;2
123;15;50;30;1
123;15;50;34;1
123;15;50;37;1
123;15;50;43;1
123;15;50;51;1
123;15;50;53;1
123;15;50;58;1
123;15;50;60;1
123;15;50;93;1
123;15;50;107;1
123;15;50;128;1
123;15;50;141;1
123;15;50;146;1
123;15;50;395;1
