species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Antiaris.toxicaria,2.5460291789611137e-4,4.6106764235532747e-4,0.0012817782380249946,1.4473733203492605e-5,0.004269046911622836
Baikiaea.insignis,9.830116180203914e-4,5.088836883700822e-6,3.711132098409398e-5,6.7218092441452575e-6,6.381074836196407e-5
Beilschmiedia.variabilis,1.5744696176623153e-6,8.154007131289261e-7,1.1847977205894715e-5,1.9332608524111432e-8,8.333276395792719e-5
Bellucia.aubletii,3.610712067258779e-7,3.190736169658239e-5,1.3483181246234513e-7,2.0480356664809258e-9,5.1132959338046854e-8
Bosqueiopsis.sp,1.986070687240931e-5,8.117472025934644e-4,1.3400931995684062e-6,5.136487026368514e-10,3.935517247825202e-6
Bridelia.atroviridis,1.296734687348794e-4,2.0617156281401936e-5,9.58652460181778e-4,4.504732134156217e-8,0.0014496183259453115
Campylostemon.angolense,2.899293908148012e-8,1.1849999773698494e-6,1.956286890904564e-9,7.498315966547887e-13,5.745123401364039e-9
Carapa.procera,0.004448775675687715,0.00226527216552044,0.0024310637063905027,5.596828513750051e-5,0.028976314748947633
Celtis.brieyi,1.1428199285232603e-4,3.297369114882196e-4,3.6252168027179503e-7,3.858085760574918e-6,2.9435663477122165e-4
Chionanthus.macrocarpus,6.368146184464143e-8,2.6027899631942556e-6,4.296880997480138e-9,1.6469655621352082e-12,1.2618860600801262e-8
Cleistopholis.patens,0.0011798353458642792,3.549983621636306e-4,0.007167995561462223,8.877619797084415e-7,0.042310812413112825
Coelocaryon.botryoides,5.879953247427888e-4,1.344749416521023e-4,0.009586266742511217,1.3119623227083617e-4,0.018405604216073446
Croton.haumanianus,1.4957755492553047e-5,1.7707697431405883e-7,1.1153280363085727e-5,2.4305143446444233e-6,4.424457326268118e-6
Dichostemma.glaucescens,0.010168098569651358,3.340455586142043e-4,0.2723964563726203,0.005038476059626479,0.0036833873914836565
Dracaena.arborea,3.0351791886276875e-4,0.006516120016784622,4.7114958498837805e-5,3.6982867589540015e-8,0.0023530200903396055
Entandrophragma.cylindricum,2.2628627669896693e-4,2.329061963051211e-5,0.001479773191020891,1.5089783642779181e-5,0.018089204156589295
Ficus.exasperata,1.2917870739706026e-5,6.350703669961325e-4,3.4486606478334345e-8,3.826118492810489e-8,7.722142889470313e-6
Greenwayodendron.suaveolens,0.00822247645048508,0.01627777150346657,0.6858759510352115,0.2215858585611461,0.39962931527474627
Grewia.oligoneura,0.0014672403114442754,0.0011366745705838313,0.004900935679298164,1.2201367045979353e-4,0.013312009439540832
Guarea.cedrata,0.0010876142479215375,0.00476754831645994,0.002577627081448007,6.324065051404207e-5,0.06543172219751152
Hannoa.klaineana,1.4453624819855283e-5,1.0131560655624162e-4,1.3208436063118906e-4,1.5499193165205856e-8,0.0014972672850026966
Irvingia.excelsa,4.245584173908515e-6,1.5441066845119946e-4,1.7172252548559117e-6,2.2896012790179053e-8,1.519765274943931e-5
Loeseneriella.apiculata,7.994216347953954e-9,3.26739768079129e-7,5.394065293141307e-10,2.0675089170311205e-13,1.5841015388996781e-9
Macaranga.monandra,0.021237068998362356,3.1735731643678315,0.04551881816911559,1.5308878141640895e-5,0.02909880680042111
Macaranga.spinosa,0.06276372050492529,3.4762870339528225,0.043398121963983176,6.325585550830655e-5,0.027319637877322847
Maesobotrya.cfr.,2.2066192483333686e-6,1.3667602004579366e-4,5.235048351805186e-7,2.66313912089692e-10,2.779224941698031e-7
Maesopsis.eminii,0.004128151013371538,0.20477160659460028,0.002819389974876964,2.6240229265449334e-5,7.666725709874673e-4
Morinda.lucida,0.002293436138151952,0.010572032622845413,0.006489960173904106,2.4567047471000438e-5,0.011321775824904576
Petersianthus.macrocarpus,0.07406329737095689,0.629398153644579,0.024726337634952928,9.312407967678203e-4,4.918176673042166
Pseudospondias.longifolia,3.1022636013748703e-4,0.005115360615671991,0.00201122018585939,5.456907165701067e-4,0.001655242690399253
Pterocarpus.casteelsii,6.577527320541021e-4,0.0018103754088114017,0.004280976734268399,2.389407590072037e-5,0.026509088896865585
Radlkofera.calodendron,9.689505192751845e-6,1.7086660056208217e-4,9.233537135142157e-6,4.0806140066065374e-8,2.1514557852508914e-4
Scottellia.klaineana,7.622047415364042e-4,0.002114505304992697,0.024864310938747487,0.008531699470469056,0.03261056667091134
Sterculia.bequaertii,4.4164978005764006e-5,0.0015476684353731619,1.6202413257972203e-5,1.5980626739527113e-12,5.465044669017683e-5
Tabernaemontana.crassa,1.7369535659263405e-4,4.4989170329663773e-4,8.481381066653422e-4,8.18140130420311e-6,0.008919408474778026
Tessmannia.anomala,6.806815316131527e-4,0.0075013585843039104,5.401227943533768e-4,3.30009364841748e-6,0.007322978670877282
Tetrorchidium.didymostemon,0.006532241860370148,0.4069144366029006,0.0016154139900612875,1.2530575426525005e-6,4.082087826690124e-5
Tiliacora.insularis,1.8297693273104758e-8,7.478636799675089e-7,1.2346294862818059e-9,4.732251712568315e-13,3.6257968024167933e-9
