plot_ref,CA1,CA2,CA3,CA4,CA5,WD,prop_helio,prop_npld,prop_shade
Modele_2406_Principal,0.018040206319336116,0.208236238871753,-0.3439069766738044,-0.3687087611014323,0.4950034249297558,0.634375789741125,8.6200916843072,18.4311546443041,72.9487536713887
Modele_4301_Principal,0.23088406987279,0.5692370798644153,-0.5240425667585826,0.09325345957075701,-0.13289093635964816,0.636506334552029,18.1537937010639,28.9614394732582,52.88476682567791
Modele_4402_Principal,0.37470981854881147,0.19607397168002963,-0.1371832403570711,0.011352333494581755,0.1829432019739279,0.651334988059448,8.61086574307945,16.013186450179,75.3759478067415
Modele_4503_Principal,0.8645009380006651,-0.5636345854409321,0.021726746589352773,-6.016042445445779,-4.074110021125347,0.501207423722136,27.0440551100714,60.8537969253324,12.1021479645963
Modele_MA_lidar_205_principal,0.44330979539509896,0.19771602114223694,-0.2213688923421302,-0.8327544913377762,-0.20298424943021454,0.627546817211436,4.74602138430441,25.8279154559422,69.4260631597534
PARAP_Gungu_5,0.5901985100257938,0.8573308893863536,-0.6708387203800324,-0.16657471576380586,-0.5722798698888182,0.544603720945961,30.0359639659303,29.6449806592037,40.319055374866
PARAP_Idiofa_6,0.4152341087667678,0.07245127958286661,0.11397946793987215,-0.07313936727941359,0.15509753803281112,0.645456062621043,12.6282517230371,59.4717856735481,27.8999626034148
PARAP_Luhudi_5,0.8962188198792709,-0.6886392855842856,0.28763415880583393,-0.2128976717504751,-0.22445256600970845,0.498633188375883,44.1915918072202,31.4997872542789,24.3086209385009
PARAP_Lukolela_53,-0.1965463189576773,0.42126855048352685,-0.492399387911028,0.23555392885088974,-0.006353987594851079,0.752455462105297,31.8341084824958,12.4511061599584,55.7147853575458
PARAP_Mampulu_28,0.26348280795888,0.3491637338160351,-0.24848343411293838,-0.2896127452916375,0.10438035749664716,0.546408294556489,27.4922056046323,47.4378379194386,25.0699564759291
PARAP_Mangai_16,0.31317133555059806,0.15359540001322103,-0.040782086561701986,0.039612213141018565,0.280487671945858,0.686729289594707,6.24268485583863,4.44773771392283,89.3095774302385
PARAP_Maniema_178,0.47929833473189665,-0.3162221133116335,0.12448264172457045,-0.6065664960785844,-0.03987162732433849,0.620584389204391,13.9805265708763,45.6635256140319,40.3559478150918
PARAP_Mashambio_26,-0.6724386388317879,2.2618724606384757,4.854380921711833,0.21014038286037626,-0.5041072493044707,0.690291256281189,1.40350236316918,74.6045316814602,23.9919659553706
PARAP_SwaKibula_234,0.6907958461063497,-0.22282988628737163,0.2876834745566825,-0.1732979173456906,0.03291236507609384,0.534917369676759,29.7837836839732,39.9764119783038,30.239804337723
WWF-DIAF_07_01_Principal,0.7677257591476003,-0.266989195790176,0.08725541948803117,0.0023928313440094444,-0.04773838077876097,0.503570346358142,28.5652866588026,61.736977360638,9.697735980559408
WWF-DIAF_08_02_Principal,0.17220175761432288,0.22431871646489743,-0.35267010801834897,-0.4035838825534887,0.46333336145578263,0.577135289106496,12.3048187219172,21.4996193331732,66.1955619449096
WWF-DIAF_11_05_Principal,0.06261329334715031,0.05846288564267058,-0.19942859722637027,-0.32865269038483463,0.3354246773506192,0.686660463415449,8.16214143916596,17.5986104498632,74.2392481109708
WWF-DIAF_13_07_Principal,0.16113825028225393,0.43110165205654843,-0.31482978797142064,-0.10606218139929265,0.39590801962739314,0.670209102228902,0.848968879889335,19.1576820445902,79.9933490755205
WWF-DIAF_14_08_Principal,0.049837324597563244,0.26106910980253906,-0.2662655167755444,-0.32012895694308813,0.3830277388699675,0.688332733627453,0.76849989380366,18.3443690473942,80.8871310588021
WWF-DIAF_15_09_Principal,0.5131709290789728,-0.007878648066319084,-0.06210119590723551,-0.2544694856208651,0.027450321589954862,0.520670596553185,24.5525304082257,13.8571017217148,61.5903678700594
WWF-DIAF_16_10_Principal,0.574689434930697,-0.14022515045691047,0.018598743182256395,-0.325067256793724,0.0471468682792885,0.599906104129332,25.5777644871974,44.5212338190299,29.9010016937727
WWF-DIAF_17_11_Principal,0.19602356329504278,0.36790658461055775,-0.5468773252307674,-0.5022304757397736,0.9310857618709529,0.58530795949312,3.51703482968265,19.5727804922872,76.9101846780302
WWF-DIAF_supp1_Principal,-0.03600608243389407,-0.05176468510601053,-0.22174502030986643,-0.22369574515102034,0.24407894664307822,0.705208027749587,27.590781440868895,12.35384863188,60.05536992725111
WWF-DIAF_supp2_Principal,0.7485596775526392,-0.2895719763359279,0.15346250654651042,0.018574188415621796,0.17040735978181326,0.529590962064373,28.9278356988637,57.708459719979,13.3637045811573
