species,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5
Scorodophloeus.zenkeri,3.630108447452168,-3.380691246885935,-0.9753730514419158,-1.6330050000287457,0.29139842852893844
Sorindeia.africana,8.953601796217937,-0.7277018714398945,-18.837447003869084,4.076977367983108,2.014457349446726
Staudtia.kamerunensis,2.302838497712916,-2.254867188497074,-4.924330182795381,0.7884660485242901,0.49522025017394905
Strombosia.pustulata,9.370729242774356,-5.501407453124708,-11.102761207379903,2.4348208767641504,2.151494956929517
Strombosiopsis.tetrandra,4.852400299351033,-3.1171332269155725,-5.694718222074757,1.7377876537252743,2.7119531000679737
Uapaca.NA,0.5285324269825444,-0.291126532143293,-1.016562507555629,0.1632911574757474,0.048901980650300256
Xylopia.hypolampra,1.1043176504478738,-0.5858083051857502,0.9154171997770056,-0.2664909873153125,-4.3785593930459665
Cleistopholis.glauca,0.5311466313246678,-0.27888666819634095,-0.773262576799703,0.43929800731801166,0.2675179065302441
Daniellia.pynaertii,0.05512051398327357,-0.007826433663714882,-0.042054921957377624,0.0399058768994481,-0.002085713842570885
Dichapetalum.NA,0.2298025991435256,-0.12252279118002427,-0.36854171034626,0.045780550411296445,0.015001657530308856
Heisteria.parvifolia,1.531077991649221,-0.9015918690012911,-2.3852586477531372,0.2600458320723959,0.1369707477545483
Maprounea.membranacea,0.5385590866581341,-0.34946448785400536,0.26038592855134846,-0.01653421153411544,0.18171124988264997
Markhamia.tomentosa,0.03884452471978066,-0.10321463670404829,0.31136761048177003,0.01362193304784157,-0.3425601184702734
Massularia.acuminata,0.7662420943146429,-0.47290407295157577,-1.4615901630751986,0.217217704255276,0.11728693701740411
Milicia.excelsa,-0.3288796911057952,-0.07504569534404221,0.12552929520074058,0.04268066270334047,-0.008924900382455053
Millettia.laurentii,2.718290848221137,-1.5274277213834135,-4.704410399470851,0.6509632219994341,-2.2867457171033614
Olax.NA,0.6671319600008819,-0.440682099270869,-1.3842398448752224,0.12019912012324308,0.10617002170262138
Picralima.nitida,0.9262668383297251,-0.5089321519247917,-1.639784761430581,0.2697816711441065,0.12640553704084062
Xylopia.aethiopica,9.389622654864137,23.315767111871093,-9.23302841727127,2.4684807643863462,1.9769909320991566
Anonidium.mannii,1.0436672691022713,-1.2226814357585316,-0.5519176149177007,0.1692152819415671,-0.04925953083669036
Cola.acuminata,0.5646131293548569,0.28269991110975795,0.4450356836156777,-0.15856803536002256,-0.20626656609699812
Garcinia.kola,1.0491060586249632,-0.6425517235058262,-2.1118979808999683,0.2254402487849701,0.22237534784603752
Millettia.NA,0.029953654309859013,-0.030611819938429943,0.12217989720204436,0.027384902634451966,0.14757154205681294
Oncoba.welwitschii,-1.5284766848649702,-0.416384853173353,1.529098950740413,0.6694198555951525,-1.2340667528212212
Ricinodendron.heudelotii,-2.3172962599962457,0.24971298707544615,-0.33517335934716636,-0.3878853845768929,0.06822798444467908
Rytigynia.NA,1.4776146960954746,2.380891202781736,-2.332076115144918,0.5509286481422908,0.3297155619105978
Sclerocroton.cornutus,0.711367202016822,-0.5149484300037819,-0.8628745390277995,0.10200815974759596,-0.1624163921485664
Tetrapleura.tetraptera,-1.0518496977071787,0.10794013425532552,-0.11310074878780312,1.241618307910772,-0.17872863311292458
Uvaria.NA,0.4988049862000736,-0.29132482181713276,-0.9711711508630918,0.14981549574960926,0.06957752182059802
Vitex.congolensis,0.041011040874739675,-0.07434243444844742,-0.10593732098633339,-0.10919419799550203,0.010179807044019887
Zanthoxylum.gilletii,0.09691949130535167,0.005371149042144784,-0.08492592040620754,0.01887648301499506,0.014047063292144646
Cola.diversifolia,0.5006502325604819,-0.3029215967835505,-0.9244040596540785,0.12576492756891774,0.04217087597699665
Dialium.NA,0.057009124458143,-0.02095861262321851,-0.12332304233367813,0.022408364307973397,0.009925727722469906
Dracaena.mannii,0.05603308637673362,-0.05182792255425534,-0.019808799352107945,0.004129871349723537,-0.045845485963283
Elaeis.guineensis,-0.15688770127052099,-0.024557808944133723,-0.31315127883154364,-0.3262635155888285,-0.045767908007972855
Ficus.NA,0.042511950171172305,-0.02497593839550149,-0.08826999430449364,0.017802085982013317,0.009261310115202582
Fillaeopsis.discophora,0.0578404261491866,-0.039369405419967904,0.08153027386054902,-0.010767915840483856,0.021448178033086428
Garcinia.punctata,8.612818058424264,-4.8964186961981095,-13.980758299260621,2.6966554605791093,2.6595387566686237
Symphonia.globulifera,2.3950512550500815,-1.3539046964687922,-4.907814987814186,1.0965874304618,0.5969466984384342
Alstonia.congensis,0.06985756766253867,-0.02329031626861615,0.030018224902382186,0.007900871680558159,0.035518398189476726
Bikinia.evrardii,0.17589528700604437,-0.09699259359739983,-0.2552046810296846,0.036046875365856025,0.017807364404721096
Cola.gigantea,-0.09379951229156341,-0.03651111274867957,0.041033561743726917,-0.23031656100767195,-0.0037710696727831106
Diospyros.NA,0.027672465623885725,-0.013777093067749857,-0.0355492270051793,0.0034314618945626555,0.001092688548671214
Eriocoelum.microspermum,0.5693146110866297,-0.30540016605909964,1.4549793523356445,-0.0717749785978519,0.8844738936217533
Erythrophleum.suaveolens,0.20312424470431809,-0.13915154529421214,0.12577829281869232,0.013055665639335502,0.23581354369004803
Gilbertiodendron.dewevrei,2.5803256560937244,-1.2636300764630854,6.086147385608247,-2.9143567396944476,1.104768488690846
Hallea.stipulosa,0.7523762615662318,-0.3370508809271714,-0.6088860815250251,0.12920483849428804,0.1560216277342235
Irvingia.gabonensis,0.24195656825738057,-0.1867342298135002,0.33536099472689745,-0.11336880713109712,-0.2888523022535469
Microdesmis.puberula,0.2092872624329406,-0.16851220001310563,-0.48440877343658023,0.15357914097880904,0.005998668201487549
Myrianthus.arboreus,-0.5358790097540727,-0.1543029040382439,0.39874846383829254,-0.6542659272912712,-0.1974357200615721
Parinari.excelsa,0.06670981123969888,-0.03376510320171837,0.18298403607824054,-0.007044953662502488,0.09634909332768615
Rinorea.brachypetala,0.02901339949986105,-0.016744589538978664,-0.04449065130150065,0.0043140324824320385,0.0010278117613502138
Entandrophragma.angolense,2.054319223158562,-1.115101774049214,-4.500441155438898,1.013254718589488,0.4462072082058112
Baillonella.toxisperma,0.015177166687918185,-0.009856043005103742,-0.026716037798910984,0.00259830153515071,4.8146748701460683e-4
Ganophyllum.giganteum,0.18926711235360982,-0.11734494612848165,-0.3338264506405213,0.04742791690545554,0.032841696061653415
Rauvolfia.vomitoria,-0.4957388821231347,-0.12516046619395516,0.5152939505043344,-0.5585976303870306,-0.25337126465058357
Piptostigma.fasciculatum,0.08300429761151096,-0.015089971060671597,-0.18398179914202867,0.03170867719927761,0.023780204877377142
Afrostyrax.lepidophyllus,0.4998459354973124,-0.296136182060713,-0.7167456965769626,0.11213941767703682,0.07176733296984243
Coelocaryon.preussii,1.0898815545866771,-1.0071300612083125,3.9709719443733404,-0.51587476024435,2.3153014760256205
Cola.ballayi,0.05928124299183318,-0.03657957589520649,-0.09808678988366769,0.018027569051165048,0.010487215863278877
Albizia.gummifera,-1.6417351963097828,0.020697850661645263,1.3158750479091759,0.7100545255235785,-0.03212726660635641
Allophylus.africanus,-0.03981894680350782,-0.02595603818751418,0.17204657449205726,0.022350070994083523,-0.48756203177312424
Alstonia.boonei,-0.7849230014486703,0.02831479999423565,0.25024009016508003,-0.11899294838047472,-0.032164193018989796
Amphimas.pterocarpoides,-0.10146976391122277,-0.018021937467590156,0.1148387228789808,0.06588598626758571,0.015144845195145001
Antiaris.toxicaria,-0.4229653043221418,-0.10112739411064026,0.696574554979287,0.21108889057558844,-0.2524171617776628
Baikiaea.insignis,0.007541995616145871,0.02151944065826037,0.21026735174198377,0.004542433138108294,-0.01194432089481536
Beilschmiedia.variabilis,-0.06522067111849715,-0.010874073928867634,0.09637537817735525,0.07509178755493201,0.014111856006348969
Bellucia.aubletii,-0.1871195228817634,0.028325601076630028,-0.009927858597736561,0.10236280932764072,-0.007026715832138303
Bosqueiopsis.sp,-0.07864274376801353,0.009670779088356979,-0.00141225852939543,0.08162634756394072,-0.0062060737017230715
Bridelia.atroviridis,-0.06692966892318444,-0.03881325653039862,0.31720086605375075,0.06507178237513751,0.026336475151899217
