species,CA1,CA2,CA3,CA4,CA5
Diospyros NA,-0.15708695311778326,0.6139398353463613,-0.3582909390820515,-0.0061108365915970375,0.477218397178033
Eriocoelum microspermum,0.08136488941600707,0.3720926563879048,-0.41714807444143304,-0.3927601657191424,0.673996831641095
Erythrophleum suaveolens,0.10768104269009247,0.27152905419624085,-0.24638623500824997,-0.1525674350084653,0.4020109038627445
Gilbertiodendron dewevrei,0.28091955088317866,0.5045533827357511,-0.567869813606323,-0.42080137043981736,1.2418836067500154
Hallea stipulosa,0.00899102178623623,0.5617516800291162,-0.3573961031748457,-0.09340607055535419,0.320953947043595
Irvingia gabonensis,-0.6189872521469836,-0.1337699267142262,0.2979779373362696,-0.10619081863679142,0.08366153379476325
Microdesmis puberula,0.03754842976405656,0.4487704672557497,-0.23632255633064878,0.013627254259886309,0.42393085382817414
Myrianthus arboreus,0.6792316094841896,-0.2880085035794299,0.11924987787201574,-0.14038994294213544,0.013358011734686346
Parinari excelsa,-0.1522438047966446,-0.03389100535340349,-0.18184904122377524,-0.17874094879229113,0.23904454357952468
Rinorea brachypetala,-0.13600096721527316,0.6164589052926454,-0.31826287110841656,-0.011079369070825955,0.4827642351840427
Entandrophragma angolense,-0.2571565068011826,0.6782200277725435,-0.3343008131427816,0.03920726751939871,0.45989280924323045
Baillonella toxisperma,-0.11491498131276306,0.6189779752389298,-0.27823480313478177,-0.016047901550054887,0.4883100731900527
Ganophyllum giganteum,-0.35210811516230495,0.5023899416894805,-0.33242671922138023,0.008678539488784935,0.4301691208368462
Rauvolfia vomitoria,0.7983431522349431,-0.4085453480720045,0.3203365224779104,-0.12443725636293976,-0.026653739961345804
Piptostigma fasciculatum,-0.28367096407487014,0.7678822312428112,-0.4699972704842226,0.18456951535803173,0.25789714135612657
Afrostyrax lepidophyllus,-0.35593428851742365,0.4854263332353545,-0.27596824775575124,-0.01703094667927601,0.49942231141028526
Coelocaryon preussii,0.15015992610564732,0.2416152510623211,-0.34131083973946846,-0.375250357832185,0.6181271286502624
Cola ballayi,-0.24457164580987145,0.6625932438581367,-0.31617313408700176,-0.024932442772313566,0.526711913115054
Albizia gummifera,0.7871583500082701,-0.4859021172528425,0.1690542714856168,-0.4720573896530221,-0.34503525719867245
Allophylus africanus,0.059291277769169815,0.6563508465936029,2.2649667033953245,0.013766736570565638,-0.23397559871476267
Alstonia boonei,0.875569770644886,-0.5927164331525732,0.2311574074199968,-0.13503112211959825,-0.20056236284125162
Amphimas pterocarpoides,0.5056772711311548,-0.4321935383342166,0.1868313736881626,-0.07115223683496111,0.029460997788163773
Antiaris toxicaria,0.7508374785622107,-0.3169760677841237,0.2762194760454537,-0.13402491287945964,0.03360256793304054
Baikiaea insignis,0.5605120054241527,0.5867862308343089,-0.5627053219312247,-0.2177598636590851,0.1346127188378529
Beilschmiedia variabilis,0.48275748574157934,-0.5239279091538348,0.24952288554576255,-0.059393343689558786,-0.034309630288454275
Bellucia aubletii,1.3637066015140253,-1.2231381151168699,0.49965872652288257,0.7705331974235134,-0.32073765768568985
Bosqueiopsis sp,1.428882025228146,-1.3765329640788568,0.5726750121157179,0.8889775056951168,-0.28600094827859385
Bridelia atroviridis,0.6320635744350812,-0.3136616183812845,0.13602247918225085,-0.2026800286417912,-0.022813920413446515
Campylostemon angolense,1.428882025228146,-1.3765329640788568,0.5726750121157179,0.8889775056951168,-0.28600094827859385
Carapa procera,0.5092759706195494,0.014858689945154817,-0.12269002629823363,-0.21185596286690975,0.38354438407182573
Celtis brieyi,0.6413074712310641,-0.5393233865755882,0.23825628345894515,-0.24088383274507164,-0.05383472501101255
Chionanthus macrocarpus,1.428882025228146,-1.3765329640788568,0.5726750121157179,0.8889775056951168,-0.28600094827859385
Cleistopholis patens,0.6556430806724137,-0.6088367196890389,0.14731686232877722,-2.2924453272016785,-1.6063760392197008
Coelocaryon botryoides,0.5776646111330059,0.23770093051499042,-0.24821117818285557,-0.11765726399514734,-0.12530312476400446
Croton haumanianus,1.210632316857646,-1.0612158125414803,0.4517655586777716,0.46620879352240147,-0.24189729923787162
Dichostemma glaucescens,-0.18755583176464127,-0.3121500045754724,-0.12706830851229803,-0.13790508488495684,0.16715463931901076
Dracaena arborea,0.7380594749327586,-0.2887353248115861,1.575050894738154,0.49986778689972966,-0.2941725879630073
Entandrophragma cylindricum,0.5233829539972464,-0.16165481097515555,0.029166075576654016,-0.2527974535467277,0.23463273231852996
Ficus exasperata,1.226407266545373,-1.0246088630182562,0.43435011936966866,0.4221784304897145,-0.2888507029927127
Greenwayodendron suaveolens,-1.4505091750069468,-0.9717803023865624,0.00222057876844099,0.1580394463640599,-0.2460424705037029
Grewia oligoneura,0.5270797126879481,-0.07433467300318589,0.01504041591809663,-0.32827652437648347,0.06917511231309433
Guarea cedrata,0.6010787191589145,-0.2921115708129459,0.09612234383885246,-0.054728753683482255,0.06041854481582068
Hannoa klaineana,0.636428746186673,-0.20779303344004685,0.047998563327126695,-0.05589788141087593,0.24975102683016775
Irvingia excelsa,0.8036834665587549,-0.7684394030203766,0.3400635854421159,0.2374511675622229,-0.11970058749395868
Loeseneriella apiculata,1.428882025228146,-1.3765329640788568,0.5726750121157179,0.8889775056951168,-0.28600094827859385
Macaranga monandra,1.4107682719319339,-1.2459315686558239,0.4978872256455797,0.8083222675098817,-0.2229029954003198
Macaranga spinosa,1.4371038685982194,-1.3097914171524883,0.5394934790755773,0.8774543405757335,-0.29581955005823346
Maesobotrya cfr.,1.4766539188253853,-1.3708324121743463,0.5627361118155229,0.9057719861116942,-0.34025610131815387
Maesopsis eminii,1.3769578491630803,-1.2321480195527246,0.5145457650816758,0.777883210061071,-0.29099121925167803
Morinda lucida,0.8214090355518413,-0.8522850389104559,0.34100441615721805,-0.08589918508399633,-0.2805411955464605
Petersianthus macrocarpus,0.6235118634774129,-0.17173054206322846,0.06631698498275848,-0.02898098625419259,0.2886664843341623
Pseudospondias longifolia,0.831531552588545,-1.0776824888614367,0.3956121552839369,0.5408077881024121,-0.27278092063762793
Pterocarpus casteelsii,0.6437315720008043,-0.6168206474899408,0.2791219810128027,0.0974082769722188,-0.05290907660462475
Radlkofera calodendron,0.7385227071440544,-0.5105036435264273,0.23126228955627517,0.07517281141172344,0.008670424251076374
Scottellia klaineana,-1.8565113213797566,-1.249788377833991,0.09558510266728348,0.23908213522174854,-0.4319848522428021
Sterculia bequaertii,0.6864715274776471,-0.5814610164862438,0.19068900481769097,0.19511152475483934,0.04360308938199201
Tabernaemontana crassa,0.5993752545630706,-0.36085271433604094,0.146973289769263,-0.024681343638338245,0.08611388886082101
Tessmannia anomala,0.7647449280421492,-0.2508847972024892,0.012365486284322548,-0.19633452707586074,-0.10419289263743699
Tetrorchidium didymostemon,1.404947531560298,-1.272791694966548,0.5257688087903402,0.8181155163226459,-0.2908041864421484
Tiliacora insularis,1.428882025228146,-1.3765329640788568,0.5726750121157179,0.8889775056951168,-0.28600094827859385
Treculia africana,0.5800949627095988,-0.16216349579617834,0.4209472418467411,0.1512283141311093,-0.005715084128783712
Trichilia prieureana,-0.1763192003809184,0.811854733629151,2.0630751177317856,-0.026683433158315558,-0.07978660094606647
Trichilia tessmannii,0.9245857135662728,-0.8927108483744607,0.37590539210669505,0.3716322976848482,-0.0925806375113144
