species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Pausinystalia.pynaertii,0.059796438942764554,-0.06506319130806204,0.0706221502721489,-0.02351407434343803,0.1116710893881112
Plagiostyles.sp1,0.042301030379124645,-0.04602682167611183,0.04995932495178716,-0.01663426101495505,0.07899805119160899
Plagiostyles.sp2,0.30730357628492677,-0.3343702689823329,0.3629386586772469,-0.12084263321574441,0.5738957995382884
Staudtia.camerounensis,0.001510210138183111,-0.0016432264675499055,0.001783622724145443,-5.938680311287735e-4,0.0028203487417921623
Xylia.ghesquierei,0.0012589842550827079,-0.0013698731043279937,0.0014869142180494168,-4.950771299202068e-4,0.0023511791968437532
Alchornea.hirtella,9.920377786795979e-4,0.0010590735979277633,0.001343241735904025,-1.854979881253942e-4,0.001455376463098415
Canthium.sp.,0.0030785051370140256,0.0032865316037017163,0.004168366037164531,-5.756398814870422e-4,0.00451634404881351
Chytranthus.stenophyllus,0.02562510469945508,0.027356691866563154,0.03469697511422641,-0.004791556802986162,0.03759350202737042
Craterispermum.laurinum,9.076489317219715e-4,9.689822710718998e-4,0.0012289773160256054,-1.6971838611094589e-4,0.0013315731722866341
Croton.mubango,0.010351773572443298,0.011051282842164745,0.014016537073458646,-0.0019356452067517903,0.015186647053613887
Ficus.sp.,0.002707944333484562,0.002890930577330217,0.0036666182734317694,-5.063498957524924e-4,0.003972710042937815
Haplocoelum.intermedium,0.0036657764995306646,0.003913487157439066,0.004963544831145066,-6.854518851946967e-4,0.005377904905493851
Hymenocardia.grandis,0.015597759360871084,0.016651760125422053,0.02111972125496699,-0.0029165753995343572,0.022882809847321814
Landolphia.owariensis,0.0012290016609365947,0.00131205004373901,0.0016640962269226073,-2.2980711058196197e-4,0.0018030161036978716
Millettia.grandis,0.010762615985587193,0.011489887461888771,0.01457282705361338,-0.0020124673225145684,0.015789376496970403
Millettia.sp.,0.018978789137689616,0.020261259125754584,0.025697712541348967,-0.0035487834009540827,0.027842974937774316
Pterocarpus.santalinoides,0.03252736225750441,0.03472536159157809,0.04404278897654839,-0.006082187984638951,0.047719510742077406
Pterocarpus.sp,0.009884296866452237,0.010552216931972959,0.01338356297151879,-0.0018482332247481972,0.0145008318462014
Pterocarpus.tinctorius,0.030294803849252788,0.0542912241278975,0.3845927505843054,-1.1253377308768084,-0.0662979613780953
Sorindeia.juglandifolia,0.0058809649790911266,0.0062783644671104985,0.007962960460860133,-0.001099662931495717,0.008627713777460515
Xanthophyllum.macrophyllum,7.501230840677451e-4,8.008117942742974e-4,0.0010156837322525662,-1.4026312901731062e-4,0.0011004736961046564
Albizia.ferruginea,0.010265146859665793,0.012425656145389163,0.010501396248005222,-0.0012601752467561213,0.014407071877767392
Allanblackia.staneriana,0.004884823102088007,0.012289484275699161,0.0024221992336971596,-5.161613756049199e-4,0.00558036799571086
Blighia.NA,0.0017187402728412765,0.00432409344528055,8.522583694015584e-4,-1.8161299293686147e-4,0.0019634699171405144
Coffea.sp,0.0050490859673921005,0.012702745075127713,0.0025036509829517895,-5.335184312739211e-4,0.005768020079986933
Oncoba.NA,0.001114569964819813,0.0028040913192874267,5.526731384672736e-4,-1.1777252813994661e-4,0.0012732724257716642
Pauridiantha.callicarpoides,0.003624003697963552,0.009117451242433197,0.0017970065234032397,-3.829352045806143e-4,0.004140021824702153
Pseudospondias.NA,0.00332889678854653,0.00837500639906099,0.0016506741558005935,-3.5175233774351267e-4,0.0038028949486193777
