species,CA1,CA2,CA3,CA4,CA5
Scorodophloeus zenkeri,0.030370313633154723,0.22729965152473258,0.17571991221519248,0.11806694019229941,1.2567011638556123
Sorindeia africana,0.0823693490392719,1.31288284007303,0.40048809246543543,0.08051068028304104,0.08425978931488654
Staudtia kamerunensis,9.324349088784908e-4,0.08718946420460162,0.06013553046147792,4.678559883133528e-4,0.24594176090812392
Strombosia pustulata,0.7175495259878184,0.20438983367219413,0.22291875122866822,0.007192168086953881,0.23790652812511554
Strombosiopsis tetrandra,0.06762414673765478,0.257245062639211,0.13541325223486161,0.007164577457269881,0.283646951527777
Uapaca NA,0.002835863379047693,0.06389253341230734,0.01665908955691546,1.012103152488602e-8,0.03228895775814586
Xylopia hypolampra,0.024774863580196854,0.6115510410316085,1.1211492222720367,0.0010039017098010788,9.684794505972251e-4
Cleistopholis glauca,0.001342429647225306,0.009479155899680122,0.007569136531652554,0.004278958924433378,0.0064196753716536225
Daniellia pynaertii,0.0014556962311531195,0.00832454925173145,0.008519557113083843,0.002026833740319979,8.761628856909524e-5
Dichapetalum NA,0.0018072101747945884,0.028349120471269595,0.008337529941905468,3.4721432098064604e-7,0.016563869931039733
Heisteria parvifolia,0.018906094992434976,0.12717533624396773,0.04654268736341825,0.0023635566815955085,0.083540894690209
Maprounea membranacea,0.33648497899923147,0.052754063086513106,0.003740773130143704,0.004784451928198231,0.0010805560937253097
Markhamia tomentosa,0.014354122850899488,0.00012276380466664683,0.041857499295947016,0.006259558164947944,1.2470265543581145e-5
Massularia acuminata,0.004675621630899754,0.08260754325364567,0.02014245737754997,1.0112311051155279e-4,0.05559138006031651
Milicia excelsa,0.08748826507096451,0.028991041572886213,0.004947492052369531,0.06940898671909976,0.030327258205878057
Millettia laurentii,0.0780734628952034,0.5551034838952871,0.08063539462342492,0.0012149789815717401,0.08800814606427756
Olax NA,0.005713055253219345,0.08899698193944637,0.0216817720059,8.173641005908256e-7,0.06101440373383076
Picralima nitida,0.031920970427207554,0.05848048511989417,0.019402811304094825,5.291289069136889e-4,0.03725365258098945
Xylopia aethiopica,0.003974320673710399,3.5048254477357337,1.8400732051956254,2.410910324960186,4.103295308340908
Anonidium mannii,0.0270427029114632,0.018183263856078647,0.005755301626383508,0.0217709675557482,0.1720082649646829
Cola acuminata,0.09242568905096053,0.30437286173484907,0.17675616605523822,0.010551088808940786,0.09425879066216507
Garcinia kola,0.008006446094301907,0.13251197214139585,0.0406102544764566,2.5266704580847186e-5,0.09128586442225119
Millettia NA,1.4259237846398053e-6,8.652208953030982e-4,0.0012180253066878975,0.001632466880366185,0.0030793828874421973
Oncoba welwitschii,0.1530384600614654,0.18450056148746272,0.12382229205972264,2.8164671761549198e-6,0.011914894374865407
Ricinodendron heudelotii,0.283315141881642,0.17708117838076062,0.026873777628328925,0.02686611676004609,0.014890000903466837
Rytigynia NA,0.003037347479050851,0.5449512759988141,0.23811902648698027,0.2695478683473112,0.32404960325769133
Sclerocroton cornutus,0.037869402568253885,0.016415789695873748,1.779493075283986e-4,0.0034670736363108115,0.029513316894654706
Tetrapleura tetraptera,0.09752346507659697,0.05843030035338475,0.008749342372460639,0.01752339751262058,4.890338860013711e-4
Uvaria NA,0.003554802213782098,0.054382072199070375,0.01511276881043531,1.4702537011589123e-5,0.030913585071454447
Vitex congolensis,0.005993895567609116,0.0015296280526732144,0.001714735098019954,1.6010825374513266e-4,0.025989153020821564
Zanthoxylum gilletii,0.002186170069140784,0.0014455063034097097,5.486505803838427e-4,5.992562728875325e-5,8.294087815334262e-6
Cola diversifolia,0.002800853246996933,0.05890356649772923,0.014189247825684108,2.052034472122813e-5,0.03530903540513413
Dialium NA,5.550939863025897e-4,0.007805785350122122,0.0021695962117770943,1.1070875795802001e-4,0.0020010027599791443
Dracaena mannii,0.01447786621338999,4.417642938386752e-5,0.0013707153636400408,0.0010123525404788227,0.001650601882858033
Elaeis guineensis,0.0732917419048155,7.044090517169714e-4,5.933203595284426e-6,3.593726996176681e-5,0.00161407713989822
Ficus NA,4.2025108053809e-4,0.004518132481095823,0.0011444111269443432,1.605253956556134e-8,0.00207366571514466
