species,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5
Duguetia.staudtii,7.26194902487548e-5,8.108096683142279e-7,4.168772460511001e-5,6.231372449526972e-5,6.307150394479136e-7
Leptaulus.daphnoides,7.777325426098946e-7,5.950371520210464e-7,9.8995935892929e-6,1.7162618916093788e-7,5.839119974394491e-7
Maesobotrya.barteri,3.810889458788487e-5,2.915682044903128e-5,4.850800858753521e-4,8.409683268885971e-6,2.8611687874533e-5
Pentabrachion.reticulatum,3.4298005129096377e-4,2.624113840412813e-4,0.004365720772878174,7.568714941997374e-5,2.575051908707967e-4
Rothmannia.lujae,4.120135370381191e-5,2.3036653167055095e-11,7.290415163194654e-4,4.396119275308662e-6,1.315877696850835e-5
Zanthoxylum.heitzii,8.777002756058688e-6,6.2878979576032455e-6,9.706961231442668e-5,1.7184972587056466e-6,5.819764225281451e-6
Dacryodes.normandii,2.299462433348315e-5,1.489327369084648e-5,2.0273969784219653e-4,3.7227207932094428e-6,1.2507145075869997e-5
Duguetia.barteri,1.4371640208426969e-6,9.30829605677905e-7,1.2671231115137283e-5,2.3267004957559017e-7,7.816965672418748e-7
Placodiscus.boya,1.4371640208426969e-6,9.30829605677905e-7,1.2671231115137283e-5,2.3267004957559017e-7,7.816965672418748e-7
Pleioceras.zenkeri,1.4371640208426969e-6,9.30829605677905e-7,1.2671231115137283e-5,2.3267004957559017e-7,7.816965672418748e-7
Psydrax.splendens,1.4371640208426969e-6,9.30829605677905e-7,1.2671231115137283e-5,2.3267004957559017e-7,7.816965672418748e-7
Mareya.micrantha,5.632041271215433e-7,4.4564162477899844e-7,1.6199630405542904e-5,7.771027581619156e-7,1.2442568663939448e-6
Tapura.bouquetiana,5.068837144093894e-6,4.010774623010986e-6,1.457966736498863e-4,6.993924823457251e-6,1.1198311797545497e-5
Anthocleista.nobilis,7.38248144805199e-7,6.417262494685272e-7,2.474334511887109e-5,1.4574203152583236e-6,3.1203219924937166e-6
