respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;6;18;;;;;;
WD.BA;proportion;50;6;19;;;;;;
WD.BA;proportion;50;6;20;;;;;;
WD.BA;proportion;50;6;21;;;;;;
WD.BA;proportion;50;6;22;;;;;;
WD.BA;proportion;50;6;23;;;;;;
WD.BA;proportion;50;6;24;;;;;;
WD.BA;proportion;50;6;25;;;;;;
WD.BA;proportion;50;6;26;;;;;;
WD.BA;proportion;50;6;27;;;;;;
WD.BA;proportion;50;6;28;;;;;;
WD.BA;proportion;50;6;29;;;;;;
WD.BA;proportion;50;6;30;;;;;;
WD.BA;proportion;50;6;31;;;;;;
WD.BA;proportion;50;6;32;;;;;;
WD.BA;proportion;50;6;33;;;;;;
WD.BA;proportion;50;6;34;;;;;;
WD.BA;proportion;50;6;35;;;;;;
WD.BA;proportion;50;6;36;;;;;;
WD.BA;proportion;50;6;37;;;;;;
WD.BA;proportion;50;6;38;;;;;;
WD.BA;proportion;50;6;39;;;;;;
WD.BA;proportion;50;6;40;;;;;;
WD.BA;proportion;50;6;41;;;;;;
WD.BA;proportion;50;6;42;;;;;;
WD.BA;proportion;50;6;43;;;;;;
WD.BA;proportion;50;6;44;;;;;;
WD.BA;proportion;50;6;45;;;;;;
WD.BA;proportion;50;6;46;;;;;;
WD.BA;proportion;50;6;47;;;;;;
WD.BA;proportion;50;6;48;;;;;;
WD.BA;proportion;50;6;49;;;;;;
WD.BA;proportion;50;6;50;;;;;;
WD.BA;proportion;50;6;51;;;;;;
WD.BA;proportion;50;6;52;;;;;;
WD.BA;proportion;50;6;53;;;;;;
WD.BA;proportion;50;6;54;;;;;;
WD.BA;proportion;50;6;55;;;;;;
WD.BA;proportion;50;6;56;;;;;;
WD.BA;proportion;50;6;57;;;;;;
WD.BA;proportion;50;6;58;;;;;;
WD.BA;proportion;50;6;59;;;;;;
WD.BA;proportion;50;6;60;;;;;;
WD.BA;proportion;50;6;61;;;;;;
WD.BA;proportion;50;6;62;;;;;;
WD.BA;proportion;50;6;63;;;;;;
WD.BA;proportion;50;6;64;;;;;;
WD.BA;proportion;50;6;65;;;;;;
WD.BA;proportion;50;6;66;;;;;;
WD.BA;proportion;50;6;67;;;;;;
WD.BA;proportion;50;6;68;;;;;;
WD.BA;proportion;50;6;69;;;;;;
WD.BA;proportion;50;6;70;;;;;;
WD.BA;proportion;50;6;71;;;;;;
WD.BA;proportion;50;6;72;;;;;;
WD.BA;proportion;50;6;73;;;;;;
WD.BA;proportion;50;6;74;;;;;;
WD.BA;proportion;50;6;75;;;;;;
WD.BA;proportion;50;6;76;;;;;;
WD.BA;proportion;50;6;77;;;;;;
WD.BA;proportion;50;6;78;;;;;;
WD.BA;proportion;50;6;79;;;;;;
WD.BA;proportion;50;6;80;;;;;;
WD.BA;proportion;50;6;81;;;;;;
WD.BA;proportion;50;6;82;;;;;;
WD.BA;proportion;50;6;83;;;;;;
WD.BA;proportion;50;6;84;;;;;;
WD.BA;proportion;50;6;85;;;;;;
WD.BA;proportion;50;6;86;;;;;;
WD.BA;proportion;50;6;87;;;;;;
WD.BA;proportion;50;6;88;;;;;;
WD.BA;proportion;50;6;89;;;;;;
WD.BA;proportion;50;6;90;;;;;;
WD.BA;proportion;50;6;91;;;;;;
WD.BA;proportion;50;6;92;;;;;;
WD.BA;proportion;50;6;93;;;;;;
WD.BA;proportion;50;6;94;;;;;;
WD.BA;proportion;50;6;95;;;;;;
WD.BA;proportion;50;6;96;;;;;;
WD.BA;proportion;50;6;97;;;;;;
WD.BA;proportion;50;6;98;;;;;;
WD.BA;proportion;50;6;99;;;;;;
WD.BA;proportion;50;6;100;;;;;;
WD.BA;proportion;50;6;101;;;;;;
WD.BA;proportion;50;6;102;;;;;;
WD.BA;proportion;50;6;103;;;;;;
WD.BA;proportion;50;6;104;;;;;;
WD.BA;proportion;50;6;105;;;;;;
WD.BA;proportion;50;6;106;;;;;;
WD.BA;proportion;50;6;107;;;;;;
WD.BA;proportion;50;6;108;;;;;;
WD.BA;proportion;50;6;109;;;;;;
