plot_name;WD_BA;prop_at_20m;predicted;residual;residual_std
Modele_MA_lidar_205_principal;0,627546817211436;0,1946000000000000;0,650517184428913;-0,022970367217477472;-0,29219538049428745
Modele_4301_Principal;0,636506334552029;0,3568000000000000;0,614683696122761;0,021822638429268348;0,27759565525698843
MAB04h;0,704608763066801;0,0452453987730061;0,683512846306457;0,021095916760343614;0,26835136618862127
MAB08h;0,701270426665411;0,0586656441717791;0,680548023824567;0,020722402840844034;0,26360006897187277
MAB03h;0,700518812557906;0,0595419847328244;0,680354421239817;0,020164391318089003;0,25650186337211450
MAB09h;0,670076961576783;0,0179457808323788;0,689543922386839;-0,019466960810056055;-0,24763017356700173
GIL1;0,670021289085385;0,0343000000000000;0,685930921639002;-0,015909632553616659;-0,20237905182426735
MIX-L7A;0,674928961559939;0,0174935474620017;0,689643830519940;-0,014714868960001515;-0,18718101865693185
180;0,631656607537616;0,2136000000000000;0,646319673468267;-0,014663065930650698;-0,18652205636309435
162;0,676398886605620;0,1299497487437190;0,664799823284535;0,011599063321085068;0,14754630121468121
184;0,687912246838358;0,0711764705882353;0,677784111666155;0,010128135172203012;0,12883530691175477
PARAP_Luhudi_5;0,498633188375883;0,9245995306601370;0,489244498575602;0,009388689800280847;0,11942916552281166
WWF-DIAF_13_07_Principal;0,670209102228902;0,1472000000000000;0,660988869667580;0,009220232561322317;0,11728629916945825
Modele_4402_Principal;0,651334988059448;0,2311111111111110;0,642451090267109;0,008883897792338780;0,11300794067104347
MAB01h;0,652856033684420;0,2238805970149250;0,644048467223417;0,008807566461002780;0,11203696523159175
GIL3;0,673235427502365;0,0534842865508491;0,681692697793245;-0,008457270290880059;-0,10758101022897425
MIX2;0,665028263164137;0,0968000000000000;0,672123319794769;-0,007095056630631924;-0,09025292247999528
MAB10h;0,681107526516997;0,0275862068965517;0,687414143751593;-0,006306617234596246;-0,08022355084913851
M2P9;0,641942972642423;0,2117000000000000;0,646739424564331;-0,004796451921908473;-0,06101343879597406
Lokofa_4;0,573872343671599;0,5357000000000000;0,575160816603829;-0,001288472932229778;-0,01639006617199498
GIL2;0,675164591028605;0,0863000000000000;0,674442996904600;0,000721594124004965;0,00917906394920998
Lokofa_1;0,525331345059469;0,7634000000000000;0,524856961564920;0,000474383494549091;0,00603441226592602
PARAP_SwaKibula_234;0,534917369676759;0,7167676767676771;0,535159050401136;-0,000241680724376692;-0,00307430832728096
