Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
tolérante à l'ombrage;PARAP_Mampulu_28;25,0699564759291;G.rel;3
héliophile;PARAP_Mangai_16;6,24268485583863;G.rel;3
héliophile non pionnière;PARAP_Mangai_16;4,44773771392283;G.rel;3
tolérante à l'ombrage;PARAP_Mangai_16;89,3095774302385;G.rel;3
héliophile;PARAP_Maniema_178;13,9805265708763;G.rel;3
héliophile non pionnière;PARAP_Maniema_178;45,6635256140319;G.rel;3
tolérante à l'ombrage;PARAP_Maniema_178;40,3559478150918;G.rel;3
héliophile;PARAP_Mashambio_26;1,40350236316918;G.rel;3
héliophile non pionnière;PARAP_Mashambio_26;74,6045316814602;G.rel;3
tolérante à l'ombrage;PARAP_Mashambio_26;23,9919659553706;G.rel;3
héliophile;PARAP_SwaKibula_234;29,7837836839732;G.rel;3
héliophile non pionnière;PARAP_SwaKibula_234;39,9764119783038;G.rel;3
tolérante à l'ombrage;PARAP_SwaKibula_234;30,239804337723;G.rel;3
héliophile;WWF-DIAF_07_01_Principal;28,5652866588026;G.rel;3
héliophile non pionnière;WWF-DIAF_07_01_Principal;61,736977360638;G.rel;3
tolérante à l'ombrage;WWF-DIAF_07_01_Principal;9,69773598055941;G.rel;3
héliophile;WWF-DIAF_08_02_Principal;12,3048187219172;G.rel;3
héliophile non pionnière;WWF-DIAF_08_02_Principal;21,4996193331732;G.rel;3
tolérante à l'ombrage;WWF-DIAF_08_02_Principal;66,1955619449096;G.rel;3
héliophile;WWF-DIAF_11_05_Principal;8,16214143916596;G.rel;3
héliophile non pionnière;WWF-DIAF_11_05_Principal;17,5986104498632;G.rel;3
tolérante à l'ombrage;WWF-DIAF_11_05_Principal;74,2392481109708;G.rel;3
héliophile;WWF-DIAF_13_07_Principal;0,848968879889335;G.rel;3
héliophile non pionnière;WWF-DIAF_13_07_Principal;19,1576820445902;G.rel;3
tolérante à l'ombrage;WWF-DIAF_13_07_Principal;79,9933490755205;G.rel;3
héliophile;WWF-DIAF_14_08_Principal;0,76849989380366;G.rel;3
héliophile non pionnière;WWF-DIAF_14_08_Principal;18,3443690473942;G.rel;3
tolérante à l'ombrage;WWF-DIAF_14_08_Principal;80,8871310588021;G.rel;3
héliophile;WWF-DIAF_15_09_Principal;24,5525304082257;G.rel;3
héliophile non pionnière;WWF-DIAF_15_09_Principal;13,8571017217148;G.rel;3
tolérante à l'ombrage;WWF-DIAF_15_09_Principal;61,5903678700594;G.rel;3
héliophile;WWF-DIAF_16_10_Principal;25,5777644871974;G.rel;3
héliophile non pionnière;WWF-DIAF_16_10_Principal;44,5212338190299;G.rel;3
tolérante à l'ombrage;WWF-DIAF_16_10_Principal;29,9010016937727;G.rel;3
héliophile;WWF-DIAF_17_11_Principal;3,51703482968265;G.rel;3
héliophile non pionnière;WWF-DIAF_17_11_Principal;19,5727804922872;G.rel;3
tolérante à l'ombrage;WWF-DIAF_17_11_Principal;76,9101846780302;G.rel;3
héliophile;WWF-DIAF_supp1_Principal;27,5907814408689;G.rel;3
héliophile non pionnière;WWF-DIAF_supp1_Principal;12,35384863188;G.rel;3
tolérante à l'ombrage;WWF-DIAF_supp1_Principal;60,0553699272511;G.rel;3
héliophile;WWF-DIAF_supp2_Principal;28,9278356988637;G.rel;3
héliophile non pionnière;WWF-DIAF_supp2_Principal;57,708459719979;G.rel;3
tolérante à l'ombrage;WWF-DIAF_supp2_Principal;13,3637045811573;G.rel;3
héliophile;123;7,94520547945206;ind.rel;3
héliophile non pionnière;123;22,1917808219178;ind.rel;3
tolérante à l'ombrage;123;69,8630136986301;ind.rel;3
héliophile;148;7,09677419354839;ind.rel;3
héliophile non pionnière;148;28,3870967741936;ind.rel;3
tolérante à l'ombrage;148;64,5161290322581;ind.rel;3
héliophile;162;8,28220858895706;ind.rel;3
héliophile non pionnière;162;23,0061349693252;ind.rel;3
tolérante à l'ombrage;162;68,7116564417178;ind.rel;3
héliophile;166;12,0521172638437;ind.rel;3
héliophile non pionnière;166;37,785016286645;ind.rel;3
tolérante à l'ombrage;166;50,1628664495114;ind.rel;3
héliophile;180;6,87830687830688;ind.rel;3
héliophile non pionnière;180;18,2539682539683;ind.rel;3
tolérante à l'ombrage;180;74,8677248677249;ind.rel;3
héliophile;184;6,74486803519062;ind.rel;3
héliophile non pionnière;184;23,7536656891496;ind.rel;3
tolérante à l'ombrage;184;69,5014662756598;ind.rel;3
héliophile;189;11,1111111111111;ind.rel;3
héliophile non pionnière;189;26,4705882352941;ind.rel;3
tolérante à l'ombrage;189;62,4183006535948;ind.rel;3
héliophile;199;5,11363636363636;ind.rel;3
héliophile non pionnière;199;17,0454545454545;ind.rel;3
tolérante à l'ombrage;199;77,8409090909091;ind.rel;3
héliophile;41;9,78593272171254;ind.rel;3
héliophile non pionnière;41;9,1743119266055;ind.rel;3
tolérante à l'ombrage;41;81,0397553516819;ind.rel;3
héliophile;53;7,83847980997625;ind.rel;3
héliophile non pionnière;53;8,07600950118765;ind.rel;3
tolérante à l'ombrage;53;84,0855106888361;ind.rel;3
héliophile;Betamba_1;79,4520547945206;ind.rel;3
héliophile non pionnière;Betamba_1;6,84931506849315;ind.rel;3
tolérante à l'ombrage;Betamba_1;13,6986301369863;ind.rel;3
héliophile;Betamba_2;85,7385398981324;ind.rel;3
héliophile non pionnière;Betamba_2;6,7911714770798;ind.rel;3
tolérante à l'ombrage;Betamba_2;7,47028862478778;ind.rel;3
héliophile;Betamba_3;58,3596214511041;ind.rel;3
héliophile non pionnière;Betamba_3;16,7192429022082;ind.rel;3
tolérante à l'ombrage;Betamba_3;24,9211356466877;ind.rel;3
héliophile;Betamba_4;72,5961538461539;ind.rel;3
