metric;correlation;p_value;method;target_variable;metric_label
auc_0_25;0,124619713050735118;0,28345423420141613313206;Pearson;prop_g_npld;auc_0_25
auc_0_25;0,028571428571428571;0,80645497813965927313973;Spearman;prop_g_npld;auc_0_25
auc_25_75_norm;-0,093065959413547325;0,42393017233460728032668;Pearson;prop_g_npld;auc_25_75_norm
auc_25_75_norm;-0,078113465481886538;0,50240062051835276957235;Spearman;prop_g_npld;auc_25_75_norm
auc_25_75;0,119529434346237418;0,30373521155467725352040;Pearson;prop_g_npld;auc_25_75
auc_25_75;0,152453861927546119;0,18859891249526619660948;Spearman;prop_g_npld;auc_25_75
auc_75_100_norm;-0,064520260427583076;0,57976361604054171827727;Pearson;prop_g_npld;auc_75_100_norm
auc_75_100_norm;-0,003062200956937799;0,97905532740503187216774;Spearman;prop_g_npld;auc_75_100_norm
auc_75_100;-0,177577033106606857;0,12487011819880426688467;Pearson;prop_g_npld;auc_75_100
auc_75_100;-0,196664388243335597;0,08861709422011007641906;Spearman;prop_g_npld;auc_75_100
basal_thickness;-0,063442549447169649;0,58612360705466381993745;Pearson;prop_g_npld;Épaisseur zone basale
basal_thickness;-0,084166339670718973;0,46976055389324755662273;Spearman;prop_g_npld;Épaisseur zone basale
