Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
tolérante à l'ombrage;166;50,162866449511398;ind.rel;3
héliophile;180;6,878306878306880;ind.rel;3
héliophile non pionnière;180;18,253968253968299;ind.rel;3
tolérante à l'ombrage;180;74,867724867724903;ind.rel;3
héliophile;184;6,744868035190620;ind.rel;3
héliophile non pionnière;184;23,753665689149599;ind.rel;3
tolérante à l'ombrage;184;69,501466275659794;ind.rel;3
héliophile;189;11,111111111111100;ind.rel;3
héliophile non pionnière;189;26,470588235294102;ind.rel;3
tolérante à l'ombrage;189;62,418300653594798;ind.rel;3
héliophile;199;5,113636363636360;ind.rel;3
héliophile non pionnière;199;17,045454545454501;ind.rel;3
tolérante à l'ombrage;199;77,840909090909093;ind.rel;3
héliophile;41;9,785932721712539;ind.rel;3
héliophile non pionnière;41;9,174311926605499;ind.rel;3
tolérante à l'ombrage;41;81,039755351681904;ind.rel;3
héliophile;53;7,838479809976250;ind.rel;3
héliophile non pionnière;53;8,076009501187650;ind.rel;3
tolérante à l'ombrage;53;84,085510688836095;ind.rel;3
héliophile;Betamba_1;79,452054794520606;ind.rel;3
héliophile non pionnière;Betamba_1;6,849315068493150;ind.rel;3
tolérante à l'ombrage;Betamba_1;13,698630136986299;ind.rel;3
héliophile;Betamba_2;85,738539898132402;ind.rel;3
héliophile non pionnière;Betamba_2;6,791171477079800;ind.rel;3
tolérante à l'ombrage;Betamba_2;7,470288624787780;ind.rel;3
héliophile;Betamba_3;58,359621451104097;ind.rel;3
héliophile non pionnière;Betamba_3;16,719242902208201;ind.rel;3
tolérante à l'ombrage;Betamba_3;24,921135646687699;ind.rel;3
héliophile;Betamba_4;72,596153846153896;ind.rel;3
héliophile non pionnière;Betamba_4;13,461538461538501;ind.rel;3
tolérante à l'ombrage;Betamba_4;13,942307692307701;ind.rel;3
héliophile;GIL1;8,284023668639049;ind.rel;3
héliophile non pionnière;GIL1;6,213017751479290;ind.rel;3
tolérante à l'ombrage;GIL1;85,502958579881707;ind.rel;3
héliophile;GIL2;14,691943127962100;ind.rel;3
héliophile non pionnière;GIL2;9,004739336492889;ind.rel;3
tolérante à l'ombrage;GIL2;76,303317535545006;ind.rel;3
héliophile;GIL3;26,801152737752201;ind.rel;3
héliophile non pionnière;GIL3;10,951008645533101;ind.rel;3
tolérante à l'ombrage;GIL3;62,247838616714702;ind.rel;3
héliophile;JEU-L6B;8,411214953271029;ind.rel;3
héliophile non pionnière;JEU-L6B;13,551401869158900;ind.rel;3
tolérante à l'ombrage;JEU-L6B;78,037383177570106;ind.rel;3
héliophile;JEU2;94,400000000000006;ind.rel;3
héliophile non pionnière;JEU2;3,733333333333330;ind.rel;3
tolérante à l'ombrage;JEU2;1,866666666666670;ind.rel;3
héliophile;JEU3;91,519434628975304;ind.rel;3
héliophile non pionnière;JEU3;6,713780918727920;ind.rel;3
tolérante à l'ombrage;JEU3;1,766784452296820;ind.rel;3
héliophile;JEU4;83,838383838383805;ind.rel;3
héliophile non pionnière;JEU4;6,397306397306400;ind.rel;3
tolérante à l'ombrage;JEU4;9,764309764309759;ind.rel;3
héliophile;Lokofa_1;20,335429769392000;ind.rel;3
héliophile non pionnière;Lokofa_1;46,540880503144699;ind.rel;3
tolérante à l'ombrage;Lokofa_1;33,123689727463301;ind.rel;3
héliophile;Lokofa_2;21,774193548387100;ind.rel;3
héliophile non pionnière;Lokofa_2;16,129032258064498;ind.rel;3
tolérante à l'ombrage;Lokofa_2;62,096774193548399;ind.rel;3
héliophile;Lokofa_3;21,951219512195099;ind.rel;3
héliophile non pionnière;Lokofa_3;16,097560975609799;ind.rel;3
tolérante à l'ombrage;Lokofa_3;61,951219512195102;ind.rel;3
héliophile;Lokofa_4;13,961038961039000;ind.rel;3
