plot_name;site;H_mean;H_95;H_Lor;n_tree;DBH_mean;QMD;G;WD_BA;WD_mean;AGB_Chave;H_mean_20;WD_mean_20;QMD_20;AGB_Bastin_20
PARAP_Mangai_16;DRC;17,67812320602280;27,8500000000000;23,39249716560080;406;22,7322660098522;29,0803528379947;26,96592101774660;0,686729289594707;0,597694054128631;292,0947164235500;27,1594762832937;0,755322832735065;88,1739388935302;361,0492931448170
PARAP_Maniema_178;DRC;20,09175837388290;32,6492573632131;28,99469223505180;534;20,4204119850187;24,1020400243078;24,36344765466140;0,620584389204391;0,630463454652273;292,8718751379510;38,1652668721357;0,644042403971102;70,8957967724463;346,1137606811360
PARAP_Mashambio_26;DRC;18,26996884373400;26,8620296690961;20,73449369691470;708;19,8635593220339;21,7410764862198;26,28362285665650;0,690291256281189;0,686185396307721;258,1094282280020;21,9393374605139;0,699591445134135;46,7561760626337;126,6488157112130
PARAP_SwaKibula_234;DRC;17,40594207286810;24,5588240239909;20,74401452062660;405;18,5758024691358;22,1141438456182;15,55554261717480;0,534917369676759;0,536598499317287;116,5815356813340;21,8474660748416;0,500693124479086;62,2543131035915;119,3449426207980
WWF-DIAF_07_01_Principal;DRC;24,15913984542830;37,1805615412334;32,60588624081220;275;28,6963272727273;33,5340998713521;24,28823085009700;0,503570346358142;0,549473097443754;258,9201185582500;39,2695657210833;0,467328234675952;74,4374369521144;262,6645183015080
WWF-DIAF_08_02_Principal;DRC;21,89522795021050;34,0218547848467;29,70593185645220;516;24,3033914728682;28,4372963524525;32,77299945838510;0,577135289106496;0,565400758294462;375,6789453223310;38,3960416667458;0,611485684001219;75,1257303791451;350,8952266405170
WWF-DIAF_11_05_Principal;DRC;19,62378828395680;33,0549238137258;27,66687574043090;521;20,4992514395393;24,2528110526169;24,06865220037940;0,686660463415449;0,671191372015157;306,6611682323640;35,0345077300726;0,694598159864195;63,4771546700071;301,9179070896570
WWF-DIAF_13_07_Principal;DRC;20,78296177153650;39,8000000000000;32,53139141621090;193;26,6010880829016;32,3799382094160;15,89275621674870;0,670209102228902;0,678001575103467;228,2193228970170;39,1715119834349;0,694445271377368;71,2561639439003;390,4846085590460
WWF-DIAF_14_08_Principal;DRC;21,25167535870630;38,6121374365425;31,54994295173140;368;23,3495652173913;28,3629830615923;23,25099331261950;0,688332733627453;0,640454370495342;337,6837188392530;39,3190518333414;0,760277995489781;73,2789843679619;448,5430692722120
WWF-DIAF_15_09_Principal;DRC;21,79644478239490;34,7650120198641;28,65764525000260;404;24,3633663366337;28,3350567947967;25,47530671201920;0,520670596553185;0,564973771653605;249,9120591864620;34,0565642632676;0,484077243490071;70,4515341564682;218,5506420543830
WWF-DIAF_16_10_Principal;DRC;24,27370176772570;40,0000000000000;33,39713118673370;181;35,6890055248619;43,9750552156046;27,49041164699330;0,599906104129332;0,590432552333974;362,9966297366120;37,7497936767937;0,588103122025687;93,2441316115926;420,6943956500330
WWF-DIAF_17_11_Principal;DRC;14,65430574173260;28,1100000000000;16,60502289977240;279;27,6964516129032;33,6394649877120;24,79660618502630;0,585307959493120;0,603926940023263;165,3487190039510;16,6714713112130;0,565236225649351;77,2339288460713;128,6824699807600
WWF-DIAF_supp1_Principal;DRC;19,32527781408210;30,3877584306981;26,98452905234030;385;20,5038961038961;24,6123620190311;18,31712038511270;0,705208027749587;0,647391569284078;236,2681645623620;33,8082348314343;0,779508222777259;68,9184135046651;362,7340957450560
WWF-DIAF_supp2_Principal;DRC;21,69798611788700;35,3353216242851;30,01252577627090;352;27,5096875000000;33,6323205574570;31,27131989784520;0,529590962064373;0,541189870360990;327,3212715871820;34,4739908314300;0,489524689060758;84,4296612867777;275,5050355722260
RAB01h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,661041717000000;NA;NA;NA;NA;NA
RAB02h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,677997226000000;NA;NA;NA;NA;NA
RAB03h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,644401004000000;NA;NA;NA;NA;NA
RAB04h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,645410994000000;NA;NA;NA;NA;NA
RAB05h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,623710968000000;NA;NA;NA;NA;NA
RAB06h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,642725861000000;NA;NA;NA;NA;NA
RAB07h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,712854621000000;NA;NA;NA;NA;NA
RAB08h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,662886848000000;NA;NA;NA;NA;NA
RAB09h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,632924835000000;NA;NA;NA;NA;NA
RAB10h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,654281737000000;NA;NA;NA;NA;NA
RAB11h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,647456918000000;NA;NA;NA;NA;NA
RAB12h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,622537955000000;NA;NA;NA;NA;NA
RAB13h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,610670740000000;NA;NA;NA;NA;NA
RAB14h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,661744000000000;NA;NA;NA;NA;NA
RAB15h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,643582940000000;NA;NA;NA;NA;NA
RAB16h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,654285547000000;NA;NA;NA;NA;NA
RAB17h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,662039721000000;NA;NA;NA;NA;NA
RAB18h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,652341983000000;NA;NA;NA;NA;NA
RAB19h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,616570171000000;NA;NA;NA;NA;NA
RAB20h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,650165805000000;NA;NA;NA;NA;NA
RAB21h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,661080554000000;NA;NA;NA;NA;NA
RAB22h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,607976629000000;NA;NA;NA;NA;NA
RAB23h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,687232915000000;NA;NA;NA;NA;NA
RAB24h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,683217449000000;NA;NA;NA;NA;NA
RAB25h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,629980683000000;NA;NA;NA;NA;NA
MNG03h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,490477779000000;NA;NA;NA;NA;NA
MNG04h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,609866798000000;NA;NA;NA;NA;NA
MON02h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,624997419000000;NA;NA;NA;NA;NA
MON03h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,462820502000000;NA;NA;NA;NA;NA
MON05h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,499489086000000;NA;NA;NA;NA;NA
MON09h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,465363709000000;NA;NA;NA;NA;NA
MON10h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,518200907000000;NA;NA;NA;NA;NA
MON11h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,480760245000000;NA;NA;NA;NA;NA
MON13h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,598951038000000;NA;NA;NA;NA;NA
MON14h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,435488473000000;NA;NA;NA;NA;NA
MON21Ah;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,532292938000000;NA;NA;NA;NA;NA
MON22h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,684806432000000;NA;NA;NA;NA;NA
MON23h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,474367745000000;NA;NA;NA;NA;NA
LOP07h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,456916844000000;NA;NA;NA;NA;NA
LOP08h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,569507684000000;NA;NA;NA;NA;NA
LOP09h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,495564917000000;NA;NA;NA;NA;NA
LOP10h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,643684049000000;NA;NA;NA;NA;NA
LOP11h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,678005230000000;NA;NA;NA;NA;NA
LOP12h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,628549150000000;NA;NA;NA;NA;NA
LPG01h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,640209250000000;NA;NA;NA;NA;NA
LPG02h;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,687718160000000;NA;NA;NA;NA;NA
