plot_name;height_aboveground;buffer;proportion
123;15;100;0,10605135141030999635
123;15;200;0,10225021587849900118
123;16;0;0,08160804020100499712
123;16;20;0,06294101044312730431
123;16;50;0,07700903249837040554
123;16;100;0,12211775484827999683
123;16;200;0,11992262237347800502
123;17;0;0,09447236180904519665
123;17;20;0,07535986452159189330
123;17;50;0,09137256727814510593
123;17;100;0,13915490499770899469
123;17;200;0,13858553021452399423
123;18;0;0,11095477386934700370
123;18;20;0,09182425439834419889
123;18;50;0,10911164912934200044
123;18;100;0,16003141292729200496
123;18;200;0,15945801798140898931
123;19;0;0,12713567839195999420
123;19;20;0,10861793207263099881
123;19;50;0,12959772790762599803
123;19;100;0,18359110839641398782
123;19;200;0,18233267299910299597
123;20;0;0,14502512562814098840
123;20;20;0,12771662432966399137
123;20;50;0,15241177018344401195
123;20;100;0,20835060317183298761
123;20;200;0,20464858366773300280
123;21;0;0,17125628140703499924
123;21;20;0,15198983911939001334
123;21;50;0,17767017413166999451
123;21;100;0,23670949586614600801
123;21;200;0,23159529977480899920
123;22;0;0,21386934673366800319
123;22;20;0,18553015335403100217
123;22;50;0,21170500046559301288
123;22;100;0,27491765013852198507
123;22;200;0,26743536343780199838
123;23;0;0,26221105527638199906
123;23;20;0,22626775802050999586
123;23;50;0,25509824005959602644
123;23;100;0,31729238018367800223
123;23;200;0,30797819203873999516
123;24;0;0,31396984924623100310
123;24;20;0,27373224197948997638
123;24;50;0,30363627898314599074
123;24;100;0,36438995658908002184
123;24;200;0,35220788676114500593
123;25;0;0,37165829145728601635
123;25;20;0,32552450842035901557
123;25;50;0,35296582549585597821
123;25;100;0,41240374337383600700
123;25;200;0,39814344491288700123
123;26;0;0,42874371859296500631
123;26;20;0,37896321384890402362
123;26;50;0,40252816835832000431
123;26;100;0,46131192600510501078
123;26;200;0,44763464892230098169
123;27;0;0,48080402010050299344
123;27;20;0,43273120707498402560
123;27;50;0,45567557500698402384
123;27;100;0,51464845880325504890
123;27;200;0,50168893178239504227
123;28;0;0,54000000000000003553
123;28;20;0,49350832627716600953
123;28;50;0,51105782661327903149
123;28;100;0,57388582273510602150
123;28;200;0,56158886574897104449
123;29;0;0,60060301507537694476
123;29;20;0,55978925580957794583
123;29;50;0,57049073470528000041
123;29;100;0,63365764272158098258
123;29;200;0,62521799495436902738
123;30;0;0,65366834170854304364
123;30;20;0,62037821055602604403
123;30;50;0,62831734798398397590
123;30;100;0,68739774437730405410
123;30;200;0,68403853642843803762
123;31;0;0,71658291457286404924
123;31;20;0,68346034434095404020
123;31;50;0,69263897942080299153
123;31;100;0,74208677821164503730
123;31;200;0,74597450093970596452
123;32;0;0,80140703517587996707
123;32;20;0,75731489321667100345
123;32;50;0,75956792997485800267
123;32;100;0,79828101481206803491
123;32;200;0,80490933103062900500
123;33;0;0,87708542713567805293
123;33;20;0,83356853890300097731
123;33;50;0,82018809945060100475
123;33;100;0,84782181889574803613
123;33;200;0,85349892484041900431
123;34;0;0,93809045226130605144
123;34;20;0,89312258914291098311
123;34;50;0,87342862463916604021
123;34;100;0,89024017800658794553
123;34;200;0,89483330793586302043
123;35;0;0,97427135678391996176
123;35;20;0,94195126540596496589
123;35;50;0,92115187633857897875
123;35;100;0,92653956065530795883
123;35;200;0,92939503225478703463
123;36;0;0,98944723618090502093
123;36;20;0,97088155047511504048
123;36;50;0,95160163888630200368
123;36;100;0,94875766235466096887
123;36;200;0,95499568243002996848
123;37;0;0,99658291457286396486
123;37;20;0,98391193903471596549
123;37;50;0,96684979979513896442
123;37;100;0,96147553500141802463
123;37;200;0,97166912175547304198
123;38;0;0,99959798994974902175
123;38;20;0,99143851726408904756
123;38;50;0,98195828289412401269
123;38;100;0,97376802425776098904
123;38;200;0,98290750241276003685
123;39;0;1,00000000000000000000
123;39;20;0,99618966977138001528
123;39;50;0,99145637396405594810
123;39;100;0,98336641870814300859
