Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
PARACOU;PAR15q1;PAR15;0.25ha;286337.5855;583506.982;286323.1339;583554.848;286385.4514;583521.4336;286370.9999;583569.2996;496.6;441.3;555.3;449.7;394.4;511.1;434.9;388;491.3;28.76198339;28.86999893;0.021191523;3.88250441;34.95348239;0.748443218;756
PARACOU;PAR15q2;PAR15;0.25ha;286323.1339;583554.848;286308.6823;583602.7139;286370.9999;583569.2996;286356.5483;583617.1655;483.9;428.9;545.4;437.9;381.2;502.3;419.8;373.1;471;29.27106468;29.34714127;0.0648;5.63084605;33.31044514;0.730012779;604
PARACOU;PAR15q3;PAR15;0.25ha;286308.6823;583602.7139;286294.2307;583650.5799;286356.5483;583617.1655;286342.0967;583665.0315;394.8;337.1;473.9;370.6;308;452.7;345;295.7;404.8;27.81224844;27.95499992;0.1524;7.615160295;29.64475;0.667570462;552
PARACOU;PAR15q4;PAR15;0.25ha;286294.2307;583650.5799;286279.7791;583698.4459;286342.0967;583665.0315;286327.6451;583712.8975;462.6;408;531.6;426;364.2;502.9;403.9;355.1;463;29.18652196;28.36220837;0.0268;5.320458921;33.6575063;0.6769487;524
PARACOU;PAR15q5;PAR15;0.25ha;286279.7791;583698.4459;286265.3275;583746.3119;286327.6451;583712.8975;286313.1935;583760.7635;518.6;461;584.9;473.4;415.4;540.9;452.5;401.1;505.6;27.12987656;27.66999817;0.042416967;3.507701888;35.45482088;0.740916428;640
PARACOU;PAR15q6;PAR15;0.25ha;286385.4514;583521.4336;286370.9999;583569.2996;286433.3174;583535.8852;286418.8658;583583.7511;441.5;395.6;493.3;399;351.2;452.9;385.5;345.6;428.4;23.05737587;24.08833313;0.1864;5.909018674;32.32998548;0.723635092;684
PARACOU;PAR15q7;PAR15;0.25ha;286370.9999;583569.2996;286356.5483;583617.1655;286418.8658;583583.7511;286404.4142;583631.6171;524.3;463.3;589.3;479.5;417.2;555;457.5;409.9;518.2;25.67632007;26.21999931;0.096;4.447451227;36.9317527;0.727376621;724
PARACOU;PAR15q8;PAR15;0.25ha;286356.5483;583617.1655;286342.0967;583665.0315;286404.4142;583631.6171;286389.9627;583679.4831;401.9;345.5;469.1;373.5;313.2;441.1;352.4;304.4;413.6;28.77530221;29.21999931;0.047580968;4.430375553;27.74416499;0.723657532;544
PARACOU;PAR15q9;PAR15;0.25ha;286342.0967;583665.0315;286327.6451;583712.8975;286389.9627;583679.4831;286375.5111;583727.3491;338.4;291.3;394.3;305.3;263.2;359.3;293.4;256.7;336.8;28.44358013;29.2114296;0.0872;5.905304251;23.77206404;0.724512398;460
PARACOU;PAR15q10;PAR15;0.25ha;286327.6451;583712.8975;286313.1935;583760.7635;286375.5111;583727.3491;286361.0595;583775.215;324.2;284.3;369.7;293.6;252.2;340.6;282.6;249.9;320.8;25.59423392;26.75999832;0.1404;5.763800811;24.63762308;0.704922057;544
PARACOU;PAR15q11;PAR15;0.25ha;286433.3174;583535.8852;286418.8658;583583.7511;286481.1834;583550.3368;286466.7318;583598.2027;451.8;401.8;510.2;409.6;356.1;470;394.1;352.6;445;26.91113228;27.4649992;0.1076;4.846903247;33.80243111;0.706590898;780
PARACOU;PAR15q12;PAR15;0.25ha;286418.8658;583583.7511;286404.4142;583631.6171;286466.7318;583598.2027;286452.2802;583646.0687;455.5;406.9;510.6;409.8;363.3;462.6;395.6;353.7;441.6;24.44860373;24.55299854;0.0796;3.553655216;33.58369144;0.728585856;816
PARACOU;PAR15q13;PAR15;0.25ha;286404.4142;583631.6171;286389.9627;583679.4831;286452.2802;583646.0687;286437.8286;583693.9347;485.3;431.6;543.3;439.8;384.7;506.9;423.8;378.7;474.3;25.99472685;26.65499973;0.1128;4.656658591;34.24988815;0.755692584;800
PARACOU;PAR15q14;PAR15;0.25ha;286389.9627;583679.4831;286375.5111;583727.3491;286437.8286;583693.9347;286423.377;583741.8007;526.1;458.8;604.2;482.8;412.6;569.7;456.4;403.1;516.9;28.62927253;29.98083305;0.108;7.685325589;35.28366063;0.741082458;612
PARACOU;PAR15q15;PAR15;0.25ha;286375.5111;583727.3491;286361.0595;583775.215;286423.377;583741.8007;286408.9254;583789.6666;274;237.7;315.8;246.7;214;287.1;240.3;211.3;271.8;28.77393843;30.22000122;0.1124;6.749811209;20.17617824;0.737730722;476
PARACOU;PAR15q16;PAR15;0.25ha;286481.1834;583550.3368;286466.7318;583598.2027;286529.0494;583564.7883;286514.5978;583612.6543;394.1;345.4;449.1;360.2;309.8;419.1;343.2;301.1;390.9;25.81667082;25.59816551;0.0812;4.790383017;29.31268994;0.694108891;608
PARACOU;PAR15q17;PAR15;0.25ha;286466.7318;583598.2027;286452.2802;583646.0687;286514.5978;583612.6543;286500.1462;583660.5203;544.2;477.3;616.2;493.4;430.7;567.7;473.5;421.7;534.7;26.29426884;25.9454422;0.043217287;4.000638534;37.59885734;0.731299521;756
